id_pedido;id_cliente;nome_cliente;email;telefone;data_pedido;estado;cidade;canal_venda;dispositivo;categoria_produto;produto;quantidade;preco_unitario;desconto_pct;frete;valor_total;forma_pagamento;parcelas;idade_cliente;renda_mensal;tempo_cliente_meses;nivel_fidelidade;id_parceiro;avaliacao;devolvido;cupom_usado;recomprou_90d
PED2026007758;CLI01510;Bruno Ferreira;brunoferreira.1510@exemplo.com; 11939919897 ;2026-08-06;SP;São Paulo;SITE;MOBILE;Eletrodomésticos;Geladeira;1;6482.42;0.2;0;5185.93;BOLETO;1;18;7995.57;34;Ouro;PROPRIO;5;0;1;0
PED2026011060;CLI01380;Wesley Costa;wesleycosta.1380@exemplo.com;(11) 96032-4759;2026-03-10;SC; Florianópolis ;SITE;mobile;Informática;Notebook;1;5328.05;0;0;5328.05;PIX;1;43;6930.59;79;Diamante;PROPRIO;4;1;0;0
PED2026004406;CLI02520;Henrique Barbosa;henriquebarbosa.2520@exemplo.com;47934181670;2026-03-02;MG;Belo Horizonte;loja fisica;MOBILE;Telefonia;Carregador USB-C;1;180;0;23.61;203.61;CARTAO_CREDITO;1;42;3209.02;44;Ouro;PROPRIO;3;1;0;0
PED2026011143;CLI02223;Paulo Barbosa;paulobarbosa.2223@exemplo.com;(51) 90462-1912;2026-06-06;Santa Catarina;Florianópolis;APP;MOBILE;Telefonia;Smartwatch;1;1458.4;0.1;0;1312.56;PIX;1;54;15414.28;57;Ouro;PROPRIO;5;0;1;1
PED2026004560;CLI00139;Nicolas Ferreira;nicolasferreira.139@exemplo.com;(51) 96729-5083;2026-03-13;SP;São Paulo;APP;TABLET;Casa e Decoração;Organizador;1;147.4;0.25;17.94;128.49;CARTAO_CREDITO;1;40;5078.49;49;Diamante;PROPRIO;4;0;1;0
PED2026006410;CLI01839;Zeca Almeida;zecaalmeida.1839@exemplo.com;(81) 97503-8467;2026-04-17;MG;Belo Horizonte;SITE;MOBILE;Beleza e Saúde;Kit Skincare;1;234.57;0;10.79;245.36;CARTAO_CREDITO;1;48;6296.01;62;Diamante;PROPRIO;4;0;0;1
PED2026003548;CLI00882;João Silva;joãosilva.882@exemplo.com;11949111838;2026-02-01;SP;SÃO PAULO;MARKETPLACE;DESKTOP;Casa e Decoração;Cadeira Escritório;1;1745.76;0;0;1745.76;CARTAO_CREDITO;10;49;1200;27;Ouro;PARC160;5;1;0;0
PED2026010548;CLI00614;Karen Barbosa;karenbarbosa.614@exemplo.com;(21) 94772-9735;06/02/2026;sp;São Paulo;APP;desktop;Casa e Decoração;Jogo de Cama;1;450;0.25;37.86;375.36;CARTAO_CREDITO;3;43;4642.16;79;Diamante;PROPRIO;5;0;0;1
PED2026008152;CLI00407;Ursula Dias;ursuladias.407@exemplo.com;(19) 94061-4163;2026-05-03;SP;São Paulo;APP;MOBILE;Eletrodomésticos;Micro-ondas;1;1118.92;0.25;0;839.19;PIX;1;39;1768.43;57;Diamante;PROPRIO;5;0;1;1
PED2026004627;CLI03434;Bruno Martins;brunomartins.3434@exemplo.com;(61) 99197-6845;2026-06-14;SP;São Paulo;MARKETPLACE;DESKTOP;Eletrodomésticos;Micro-ondas;1;1024.78;0.15;0;871.06;PIX;1;25;3930.87;30;Ouro;PARC023;4;0;0;0
PED2026004895;CLI03199;Diego Santos;diegosantos.3199@exemplo.com;(41) 98532-7169;2026-01-14;MG;Belo Horizonte;MARKETPLACE;MOBILE;Casa e Decoração;Jogo de Cama;3;210.07;0.15;0;535.67;CARTAO_CREDITO;12;52;9983.14;80;Diamante;PARC232;4;0;1;1
PED2026011383;CLI02109;Bruno Costa;brunocosta.2109@exemplo.com;(41) 92832-3185;2026-06-26;SP;São Paulo;SITE;MOBILE;Moda e Acessórios;Mochila;1;238.8;0.2;25.02;216.06;CARTAO_CREDITO;1;37;3718.06;29;Ouro;PROPRIO;5;1;1;0
PED2026010228;CLI02815;Nicolas Gomes;nicolasgomes.2815@exemplo.com;(47) 96498-7281;2026-03-20;SP;São Paulo;SITE;DESKTOP;Outros;Pet Shop;1;500;0.1;33.49;483.49;PIX;1;46;8364.57;13;Ouro;PROPRIO;4;0;1;0
PED2026005768;CLI01783;Ana Costa;anacosta.1783@exemplo.com;(51) 96642-0204;2026-03-30;GO;Goiânia;APP;MOBILE;Eletrônicos;Smart TV;2;5386.53;0.05;0;10234.4;CARTAO_CREDITO;4;72;9857.96;84;Diamante;PROPRIO;4;0;1;1
PED2026007911;CLI01467;Wesley Dias;wesleydias.1467@exemplo.com;(19) 99317-0360;2026-04-16;MG;Belo Horizonte;MARKETPLACE;MOBILE;Moda e Acessórios;Tênis;2;332.42;0;24.5;689.34;PIX;1;41;4347.8;19;Prata;PARC083;5;0;0;1
PED2026000633;CLI01010;Gabriela Rocha;gabrielarocha.1010@exemplo.com;(51) 97747-3576;2026-04-27;SP;São Paulo;APP;MOBILE;Eletrodomésticos;Lavadora;1;2920.82;0.2;27.99;2364.65;PIX;1;39;3025.43;9;Prata;PROPRIO;4;0;1;0
PED2026003895;CLI00137;Bruno Martins;brunomartins.137@exemplo.com;(61) 94720-7424;2026-04-06;SP;São Paulo;SITE;MOBILE;Casa e Decoração;Jogo de Cama;1;351.6;0.1;19.19;335.63;pix;1;63;8052.11;24;Ouro;PROPRIO;4;0;1;1
PED2026005217;CLI01556;Lucas Rocha;lucasrocha.1556@exemplo.com;(19) 98330-9142;2026-05-03;SP;São Paulo;APP;DESKTOP;Alimentação;Suplemento Alimentar;1;226.77;0.1;35.84;239.93;CARTAO_CREDITO;2;50;7629.23;12;Ouro;PROPRIO;5;0;0;0
PED2026007550;CLI01436;Gabriela Costa;gabrielacosta.1436@exemplo.com;(19) 94633-6688;2026-05-20;RJ; Rio de Janeiro ;SITE;DESKTOP;Telefonia;Smartphone;1;3078.45;0.05;0;2924.53;PIX;1;43;2044.51;1;Prata;PROPRIO;3;0;0;0
PED2026002132;CLI00059;Gabriela Lima;gabrielalima.59@exemplo.com;(11) 97508-4957;2026-08-08;PR;Curitiba; APP ;MOBILE;Moda e Acessórios;Tênis;1;501.34;0.15;7.46;433.6;PIX;1;40;1500.27;29;Ouro;PROPRIO;4;0;1;0
PED2026010543;CLI01886;Zeca Lima;zecalima.1886@exemplo.com;19988322946;2026-07-12;RJ;Rio de Janeiro;MARKETPLACE;MOBILE;Eletrônicos;Smart TV;1;9500;0.15;22.6;8097.6;CARTAO_CREDITO;1;42;3004.9;17;Prata;PARC200;5;0;1;0
PED2026007609;CLI02167;Lucas Nunes;lucasnunes.2167@exemplo.com;(71) 92503-5194;2026-03-24;SC;Florianópolis;SITE;MOBILE;Esportes;Tênis Corrida;3;869.75;0.25;25.0;1981.94;CARTAO_CREDITO;1;38;3085.89;55;Diamante;PROPRIO;4;0;0;0
PED2026005313;CLI03013;Rafael Martins;rafaelmartins.3013@exemplo.com;(41) 96853-6847;05/02/2026;SE;Aracaju;SITE;DESKTOP;Casa e Decoração;Cadeira Escritório;1;970.85;0.2;0;776.68;CARTAO_DEBITO;1;40;2187.79;56;Ouro;PROPRIO;4;0;1;1
PED2026000861;CLI00608;Gabriela Santos;gabrielasantos.608@exemplo.com;(85) 90989-5447;2026-06-14;PR;Curitiba;APP;MOBILE; Esportes ;Bola;1;250;0.05;15.04;252.54;CARTAO CREDITO;1;27;1656.22;36;Diamante;PROPRIO;3;0;1;0
PED2026000653;CLI01611;Bruno Lima;brunolima.1611@exemplo.com;31921186524;2026-07-10;BA;Salvador;MARKETPLACE;desktop;Alimentação;Kit Café Especial;1;183.03;0.05;40.92;214.8;PIX;1;24;7009.75;42;Ouro;PARC007;5;0;0;1
PED2026009266;CLI01062;Diego Teixeira;diegoteixeira.1062@exemplo.com;19 93073-4659;2026-05-24;RO;Porto Velho;APP;MOBILE;Beleza e Saúde;Secador;4;754.1;0.2;0;2413.13;CARTAO_DEBITO;1;46;3294.87;34;Ouro;PROPRIO;5;0;1;1
PED2026009409;CLI01228;Mariana Gomes;marianagomes.1228@exemplo.com;(81) 93620-1304;2026-06-06;SP;São Paulo;MARKETPLACE;MOBILE;Eletrodomésticos;Micro-ondas;1;1400;0.2;13.13;1133.13;PIX;1;20;1200;83;Diamante;PARC055;4;0;1;1
PED2026003540;CLI01029;Wesley Oliveira;wesleyoliveira.1029@exemplo.com;+55 47 95136-9167;2026-01-04;Paraná;Curitiba;APP;MOBILE;Casa e Decoração;Cadeira Escritório;1;1072.96;0.1;0;965.67;PIX;1;34;2421.05;3;Bronze;PROPRIO;4;0;1;0
PED2026009985;CLI02644;Thiago Santos;thiagosantos.2644@exemplo.com;(31) 97819-2661;2026-02-20;RJ;Rio de Janeiro;SITE;DESKTOP;informática;Notebook;3;11287.29;0.25;0;25396.39;PIX;1;53;4587.65;36;Ouro;PROPRIO;4;0;1;0
PED2026007580;CLI00945;Isa bela Oliveira;isabelaoliveira.945@exemplo.com;(19) 91338-5949;2026-03-12;CE;Fortaleza;APP;DESKTOP;Telefonia;Smartwatch;2;923.76;0;20.9;1868.42;CARTAO_DEBITO;1;28;6968.7;11;Ouro;PROPRIO;4;0;0;0
PED2026002410;CLI01285;Ana Ramos;anaramos.1285@exemplo.com;(51) 99857-3363;2026-06-09;AP;Macapá;APP;DESKTOP;Outros;Ferramenta;1;506.35;0.05;49.53;530.56;CARTAO_CREDITO;1;50;8826.36;55;Diamante;PROPRIO;5;0;1;1
PED2026008441;CLI00830;Ana Santos;anasantos.830@exemplo.com;(71) 92714-5360;2026-06-10;MG;Belo Horizonte;Aplicativo;DESKTOP;beleza e saúde;Perfume;1;522.76;0;8.23;530.99;CARTAO_CREDITO;10;21;2972.52;63;Diamante;PROPRIO;4;0;0;1
PED2026008983;CLI01906;Henrique Ferreira;henriqueferreira.1906@exemplo.com;(85) 99790-6950;2026-01-15;SP;São Paulo;WEB;DESKTOP;Informática;Teclado mecânico;1;524.89;0.1;22.62;495.02;CARTAO_CREDITO;1;44;6239.47;80;Diamante;PROPRIO;4;0;1;0
PED2026007661;CLI01708;Felipe Nunes;felipenunes.1708@exemplo.com;(71) 95382-6049;2026-07-29;MATO GROSSO;Cuiabá;MARKETPLACE;tablet;Eletrodomésticos;Lavadora;1;4800;0;0;4800;CARTAO_CREDITO;5;33;2648.42;14;Ouro;PARC235;3;0;0;1
PED2026002995;CLI03356;Nicolas Martins;nicolasmartins.3356@exemplo.com;(81) 91800-5279;2026-07-30;MG; Belo Horizonte ;APP;MOBILE;Beleza e Saúde;Secador;3;686.8;0.1;0;1854.35;CARTAO_CREDITO;1;44;2156.4;51;Diamante;PROPRIO;5;0;1;0
PED2026000340;CLI01504;Felipe Lima;felipelima.1504@exemplo.com;(21) 94903-9627;2026-02-10;RJ;Rio de Janeiro;APP;mobile;Outros;Pet Shop;3;217.26;0;0;651.78;Cartão Crédito;12;51;8104.85;49;Diamante;PROPRIO;4;0;0;1
PED2026008605;CLI00562;Zeca Silva; zecasilva.562@exemplo.com ;(51) 98907-2505;2026-07-12;SP;São Paulo;APP;MOBILE;Outros;Pet Shop;2;500;0;0;1000;pix;1;51;4514.78;17;Ouro;PROPRIO;5;0;0;0
PED2026006181;CLI01283;Carla Silva;carlasilva.1283@exemplo.com;(61) 99835-0529;2026-02-04;pará;Belém;SITE;MOBILE;Outros;Pet Shop;2;402.47;0.1;0;724.44;CARTAO_DEBITO;1;42;2661.74;63;Diamante;PROPRIO;5;0;1;0
PED2026000850;CLI01126;Queila Souza;queilasouza.1126@exemplo.com; 85912195268 ;2026-02-13;M.G.;Belo Horizonte;MARKETPLACE;TABLET;Eletrônicos;Caixa de Som;1;1421.59;0;0;1421.59;PIX;1;47;4260.34;30;Ouro;PARC019;5;0;0;1
PED2026008514;CLI01886;Zeca Lima;zecalima.1886@exemplo.com;(19) 98832-2946;2026-05-28;RJ;Rio de Janeiro;APP;;Casa e Decoração;Cadeira Escritório;1;2400;0;4.44;2404.44;PIX;1;42;3004.9;17;Prata;PROPRIO;3;0;0;0
PED2026007589;CLI02339;Ursula Souza;ursulasouza.2339@exemplo.com;(47) 94981-6938;2026-07-03;MA;São Luís;SITE;DESKTOP;Casa e Decoração;Organizador;2;82.78;0;25.42;190.97;PIX;1;40;4680.92;7;Prata;PROPRIO;5;0;0;1
PED2026005083;CLI01117;Henrique Barbosa;henriquebarbosa.1117@exemplo.com;47901483783;2026-03-21;SP;São Paulo;SITE;MOBILE;Eletrônicos;Câmera Wi-Fi;1;378.14;0.1;27.78;368.1;CARTAO_CREDITO;2;25;1245.75;56;Diamante;PROPRIO;4;0;0;0
PED2026007039;CLI03098;Lucas Barbosa;lucasbarbosa.3098@exemplo.com;71 95712-7965;2026-06-26;SP;São Paulo;SITE;DESKTOP;Casa e Decoração;Organizador;1;173.37;0.05;38.05;202.75;PIX;1;29;2156.28;23;Ouro;PROPRIO;3;0;0;0
PED2026007019;CLI01802;Olivia Vieira;oliviavieira.1802@exemplo.com;(11) 98297-3448;2026-05-15;RS;Porto Alegre;MARKETPLACE;MOBILE;Eletrodomésticos;Micro-ondas;4;1395.58;0.1;0;5024.08;PIX;1;48;8667.0;40;Ouro;PARC077;4;0;0;0
PED2026011568;CLI02080;Vinicius Rocha;viniciusrocha.2080@exemplo.com;(61) 96350-6469;2026-03-30;RJ;Rio de Janeiro;MARKETPLACE;MOBILE;Casa e Decoração;Jogo de Cama;1;450;0.2;15.42;375.42;CARTAO_CREDITO;1;40;7048.37;29;Ouro;PARC214;3;0;1;0
PED2026002476;CLI02469;Paulo Costa;paulocosta.2469@exemplo.com;61921744376;2026-07-02;ES;Vitória;MARKETPLACE;MOBILE;Casa e Decoração;Organizador;1;180;0;9.65;189.65;CARTAO_CREDITO;6;29;2441.87;2;Prata;PARC250;4;0;0;1
PED2026006959;CLI03591;Wesley Gomes;wesleygomes.3591@exemplo.com;(41) 99778-7936;2026-05-24;DF;Brasília;APP;DESKTOP;Moda e Acessórios;Mochila;3;321.94;0.1;0;869.23;CARTAO_CREDITO;1;45;3976.67;4;Prata;PROPRIO;5;0;1;0
PED2026009119;CLI02904;Zeca Ramos;zecaramos.2904@exemplo.com;31 92674-8976;2026-05-10;PR;Curitiba;APP;MOBILE;Telefonia;Smartwatch;3;1398.1;0.15;0;3565.16;CARTAO_DEBITO;1;57;5447.9;4;Bronze;PROPRIO;4;0;1;0
PED2026004173;CLI02610;Zeca Rocha;zecarocha.2610@exemplo.com;(61) 98253-9704;2026-06-30;RJ;Rio de Janeiro;APP;DESKTOP;Alimentação;Suplemento Alimentar;1;450;0.15;5.23;387.73;PIX;1;43;3127.57;40;Ouro;PROPRIO;5;0;1;1
PED2026000328;CLI02208;Felipe Santos;felipesantos.2208@exemplo.com;(81) 95309-7813;2026-03-25;SP;São Paulo;LOJA_FISICA;MOBILE;Telefonia;Smartphone;1;3274.81;0.1;0;2947.33;PIX;1;39;2734.81;26;Ouro;PROPRIO;5;0;1;0
PED2026004123;CLI01674;Henrique Souza;henriquesouza.1674@exemplo.com;(19) 98026-2820;2026-07-11;BA;Salvador;APP;DESKTOP;Telefonia;Smartwatch;4;521.55;0.1;12.04;1889.63;CARTAO_CREDITO;4;34;1859.33;5;Prata;PROPRIO;4;1;0;1
PED2026000537;CLI02971;Olivia Dias;oliviadias.2971@exemplo.com;+55 61 95139-7818;2026-01-19;SP;São Paulo;market place;DESKTOP;Esportes;Bola;1;172.82;0.2;27.62;165.88;PIX;1;35;2944.51;53;Diamante;PARC186;5;0;1;0
PED2026009488;CLI03585; Queila Dias ;queiladias.3585@exemplo.com;(47) 98371-3334;2026-03-17;RS;Porto Alegre;APP;DESKTOP;ELETRODOMÉSTICOS;Cafeteira;5;337.39;0.05;0;1602.62;CARTAO_CREDITO;5;66;7096.92;6;Ouro;PROPRIO;5;0;0;0
PED2026002986;CLI00364;Isabela Silva;isabelasilva.364@exemplo.com;(85) 92493-2179;2026-03-15;mg;Belo Horizonte;Marketplace;MOBILE;Eletrodomésticos;Cafeteira;1;361.92;0;21.94;383.86;pix;1;48;5040.97;23;Ouro;PARC080;4;0;0;1
PED2026010396;CLI02361;Sofia Gomes;sofiagomes.2361@exemplo.com;(31) 98265-1104;2026-06-14;DF;Brasília;SITE;MOBILE;Eletrônicos;Console;2;2967.76;0.05;0;5638.75;PIX;1;27;3119.9;69;Diamante;PROPRIO;5;1;1;1
PED2026008286;CLI00058;Queila Pereira;queilapereira.58@exemplo.com;(21) 92169-6946;2026-07-11;SP;São Paulo;SITE;DESKTOP;Telefonia;Smartphone;1;2101.78;0.3;18.79;1490.03;BOLETO;1;50;3024.5;66;Diamante;PROPRIO;5;0;0;1
PED2026011847;CLI03308;Yasmin Dias;yasmindias.3308@exemplo.com; 81995555355 ;2026-01-27;MS;Campo Grande;Aplicativo;DESKTOP;Informática;SSD;1;493.46;0;30.71;524.17;PIX;1;39;3502.5;49;Diamante;PROPRIO;5;0;0;1
PED2026002345;CLI03233;Wesley Costa;wesleycosta.3233@exemplo.com;(11) 98093-7467;2026-03-20;SC;Florianópolis;SITE;MOBILE;Casa e Decoração;Jogo de Cama;1;286.76;0;18.16;304.92;CARTAO_CREDITO;1;24;2445.76;54;Ouro;PROPRIO;5;0;0;0
PED2026007672;CLI00805;Eduarda Costa;eduardacosta.805@exemplo.com;(51) 93608-7772;2026-07-21;SP;São Paulo;PDV;DESKTOP;Moda e Acessórios;Tênis;2;559.83;0;0;1119.66;PIX;1;35;2601.02;12;Prata;PROPRIO;2;0;0;0
PED2026001876;CLI01989;Carla Pereira;CARLAPEREIRA.1989@EXEMPLO.COM;(71) 98938-4040;2026-05-02;SP;São Paulo;APP;MOBILE;Alimentação;Snacks;1;100.3;0.05;35.02;130.31;CARTAO_CREDITO;1;20;2039.66;51;Ouro;PROPRIO;4;0;1;0
PED2026007523;CLI00180;Zeca Oliveira;ZECAOLIVEIRA.180@EXEMPLO.COM;(71) 91623-8200;2026-05-14;MG;BELO HORIZONTE;MARKETPLACE;MOBILE;Casa e Decoração;Cadeira Escritório;1;1761.4;0.1;3.05;1588.31;CARTAO_CREDITO;1;54;3498.82;52;Diamante;PARC131;5;0;1;1
PED2026011189;CLI01191;Wesley Oliveira;wesleyoliveira.1191@exemplo.com;+55 21 93765-8269;2026-01-22;ES;Vitória;MARKETPLACE;MOBILE;Eletrodomésticos;Geladeira;1;3472.68;0;0;3472.68;CARTEIRA_DIGITAL;1;27;3303.92;40;Diamante;PARC066;3;0;0;0
PED2026005912;CLI01323;Carla Martins;carlamartins.1323@exemplo.com;(41) 92291-7028;2026-04-18;SC;Florianópolis;APP;DESKTOP;Informática;Notebook;1;5750.68;0.2;0;4600.54;CARTEIRA_DIGITAL;1;44;10583.46;41;Ouro;PROPRIO;4;0;0;0
PED2026006364;CLI01332;Sofia Barbosa;sofiabarbosa.1332@exemplo.com;(81) 91254-3992;2026-05-01;RS;Porto Alegre;APP;MOBILE;Outros;Papelaria;1;84.85;0;10.06;94.91;CARTAO_CREDITO;1;52;4535.29;27;Ouro;PROPRIO;4;0;0;1
PED2026011485;CLI02305;Karen Dias;karendias.2305@exemplo.com;(85) 98552-6233;2026-05-28;MG;Belo Horizonte;APP;DESKTOP;TELEFONIA;Fone Bluetooth;2;900;0.3;0;1260.0;CARTAO_CREDITO;6;38;4036.46;24;Prata;PROPRIO;5;0;0;1
PED2026001895;CLI00574;Isabela Nunes;isabelanunes.574@exemplo.com;(47) 96492-3249;2026-08-26;goiás;Goiânia;APP;MOBILE;Beleza e Saúde;Escova Elétrica;1;453.35;0.1;36.88;444.9;Cartão Crédito;1;62;1705.45;35;Ouro;PROPRIO;5;0;0;0
PED2026011178;CLI00787;Vinicius Teixeira;viniciusteixeira.787@exemplo.com; 41910185084 ;12/02/2026;SP;São Paulo;APP;MOBILE; Informática ;Teclado mecânico;1;446.9;0.1;41.28;443.49;BOLETO;1;57;5626.76;67;Diamante;PROPRIO;3;0;0;0
PED2026005485;CLI01523;Thiago Teixeira;thiagoteixeira.1523@exemplo.com;(61) 93135-1951;2026-02-19;PE;Recife;MARKETPLACE;MOBILE;Eletrodomésticos;Lavadora;1;4800;0;0;4800;BOLETO;1;34;1241.03;55;Diamante;PARC226;5;0;0;1
PED2026002592;CLI01875;Karen Souza;karensouza.1875@exemplo.com;(85) 99438-2829;2026-03-29;RJ;Rio de Janeiro;MARKETPLACE;DESKTOP;Telefonia;Smartphone;1;6474.03;0.1;30.21;5856.84;CARTAO_CREDITO;1;54;3032.63;81;Diamante;PARC077;5;0;1;0
PED2026008478;CLI02009;Karen Santos;karensantos.2009@exemplo.com;(47) 98929-2054;2026-06-30;SP;São Paulo;MARKETPLACE;MOBILE;Outros;Pet Shop;2;318.19;0.1;0;572.75;CARTAO_CREDITO;1;32;6130.47;51;Diamante;PARC097;4;0;1;0
PED2026009239;CLI01468;Ana Barbosa;anabarbosa.1468@exemplo.com;85 93468-1412;2026-04-10;RJ;RIO DE JANEIRO;MARKETPLACE;MOBILE;Eletrônicos;Smart TV;1;8940.77;0;0;8940.77;CARTAO_CREDITO;6;39;4660.82;18;Ouro;PARC066;4;0;0;1
PED2026007852;CLI03590;Ana Barbosa;anabarbosa.3590@exemplo.com;(19) 91498-9356;2026-08-18;CE;Fortaleza;MARKETPLACE;DESKTOP;Eletrônicos;Console;3;2596.12;0;30.1;7818.46;PIX;1;57;3959.42;14;Prata;PARC181;4;0;0;0
PED2026011836;CLI03339;henrique nunes;henriquenunes.3339@exemplo.com;(11) 96417-4735;2026-07-01;PR;Curitiba;SITE;DESKTOP;Casa e Decoração;Luminária;3;236.04;0.2;0;566.48;PIX;1;73;4947.72;11;Ouro;PROPRIO;3;0;1;0
PED2026009929;CLI01717;Diego Dias;diegodias.1717@exemplo.com;(47) 99921-9976;02/03/2026;RS;Porto Alegre;MARKETPLACE;MOBILE;Eletrodomésticos;Air Fryer;1;573.63;0;26.02;599.65;PIX;1;48;5253.15;83;Diamante;PARC019;4;0;0;1
PED2026006135;CLI01085;NICOLAS RAMOS;nicolasramos.1085@exemplo.com;(81) 93689-5758;2026-02-04;PR;Curitiba;APP;DESKTOP; Telefonia ;Fone Bluetooth;2;414.51;0.25;0;621.77;CARTAO_CREDITO;5;33;5158.6;50;Diamante;PROPRIO;4;1;1;1
PED2026006521;CLI00629;Carla Teixeira;carlateixeira.629@exemplo.com;31 98603-0482;2026-02-02;PR;Curitiba;MARKETPLACE;MOBILE;Eletrodomésticos;Geladeira;3;3974.93;0;0;11924.79;CARTAO_CREDITO;6;70;5144.3;14;Prata;PARC237;5;0;0;0
PED2026006977;CLI00684;João Sa ntos;joãosantos.684@exemplo.com;(61) 91863-0850;2026-07-03;PR;Curitiba;SITE;MOBILE;Esportes;Tênis Corrida;1;411.32;0.3;21.61;309.53;CARTAO_CREDITO;1;62;13048.61;18;Prata;PROPRIO;4;0;1;0
PED2026010522;CLI01255;Paulo Santos;paulosantos.1255@exemplo.com;47940977412;2026-04-25;SP;SÃO PAULO;SITE;DESKTOP;Eletrônicos;Câmera Wi-Fi;4;414.2;0;0;1656.79;wallet;1;44;1388.54;61;Diamante;PROPRIO;5;0;0;1
PED2026010231;CLI01313;Isabela Dias;isabeladias.1313@exemplo.com;71 99997-7655;2026-01-10;RJ;Rio de Janeiro;SITE;MOBILE;Telefonia;Smartphone;1;4549.16;0.05;0;4321.7;CARTAO_CREDITO;3;56;176262.96;59;Diamante;PROPRIO;5;0;1;0
PED2026001249;CLI01735;Bruno Costa;brunocosta.1735@exemplo.com;85 91815-0142;2026-07-01;SP;São Paulo;MARKET PLACE;MOBILE;Eletrodomésticos;Cafeteira;1;442.21;0;25.86;468.07;PIX;1;47;4241.74;20;Ouro;PARC168;4;0;0;0
PED2026003101;CLI03018;Zeca Oliveira;zecaoliveira.3018@exemplo.com;21 92227-6775;2026-07-18;SP;São Paulo;APP;MOBILE;Telefonia;Carregador USB-C;1;68.98;0.05;35.06;100.59;PIX;1;37;3796.37;55;Diamante;PROPRIO;4;0;1;0
PED2026005979;CLI01209;Wesley Rocha;wesleyrocha.1209@exemplo.com;(81) 97432-2349;2026-06-12;RJ;Rio de Janeiro;MARKETPLACE;MOBILE;Jogos;Controle;1;231.51;0.15;15.07;211.85;CARTAO_CREDITO;6;21;2512.42;10;Ouro;PARC034;4;0;1;1
PED2026008195;CLI00196;Diego Teixeira;diegoteixeira.196@exemplo.com;(85) 91627-2193;2026-05-07;MT;Cuiabá;APP;MOBILE;Outros;Ferramenta;1;486.71;0;10.98;497.69;CARTAO_CREDITO;5;25;2014.88;70;Diamante;PROPRIO;3;0;0;1
